"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","100p","","","","Capacitor_SMD:C_1206_3216Metric",""
"C2,C5,C8,C9,C11,C12","6","1u","","","","Capacitor_SMD:C_1206_3216Metric",""
"C3,C6","2","1n","","","","Capacitor_SMD:C_1206_3216Metric",""
"C7,C10","2","2n2","","","","Capacitor_SMD:C_1206_3216Metric",""
"C13,C15,C19,C21","4","100u","","","","Capacitor_SMD:C_1206_3216Metric",""
"C14","1","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric",""
"C16,C17,C20,C22,C23","5","100n","","","","Capacitor_SMD:C_1206_3216Metric",""
"C18","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric",""
"FB1,FB2,FB3","3","600R @ 100MHz","","","","Inductor_SMD:L_0805_2012Metric",""
"IC1,IC2,IC3,IC4","4","TL072","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"J1","1","LEFT Pin ROW","","","","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"J2","1","RIGHT Pin Row","","","","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"J3","1","ESP32 Pin Breakout RIGHT","","","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical",""
"J4","1","ESP32 Pin Breakout LEFT","","","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical",""
"J5,J12","2","Micro_SD_Card","","","","Connector_Card:microSD_HC_Molex_104031-0811","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"J13","1","LEFT Pin ROW Daisy","","","","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical",""
"J14","1","RIGHT Pin ROW DAISY","","","","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical",""
"J15","1","Daisy Pin Breakout LEFT","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"J16","1","Daisy PIN Breakout RIGHT","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"R1,R3","2","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R2,R4,R6,R10","4","1M","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R9","2","3R3","","","","Resistor_SMD:R_0805_2012Metric",""
"R7,R11,R18,R21,R24","5","100R","","","","Resistor_SMD:R_0805_2012Metric",""
"R8,R12,R22,R23","4","100k","","","","Resistor_SMD:R_0805_2012Metric",""
"R13,R14,R15,R16,R17,R25,R26,R27","8","10K","","","","Resistor_SMD:R_0805_2012Metric",""
"R19,R20","2","2M","","","","Resistor_SMD:R_0805_2012Metric",""
"TP1","1","Global Ground - Functional","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP2","1","Global power 5V Input field - Functional","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP5","1","Reference voltage for the op amps - Probe","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP6","1","Processed input power at 5V Daisy- Probe","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP7","1","Jack Input 1 Pad","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP8","1","Jack Input 2 Pad","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP9","1","Jack Input 2 Pad GND","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP10","1","Jack Input 1 Pad GND","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP11","1","Jack Output 2 Signal Pad","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP12","1","Jack Output 2 GND Pad","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP15","1","Jack Output 1 GND Pad","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP16","1","Jack Output 1 Signal Pad","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP17","1","Exp Jack Input 1 Pad GND","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP18","1","Exp Jack Input 1 Signal","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP19","1","Exp Jack Input 2 GND","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP20","1","Exp Jack Input 2 Signal","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP21","1","Processed input power at 5V ESP32 - Probe","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP22","1","EXPR REF 1","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"TP23","1","EXPR Ref 2","","","","TestPoint:TestPoint_THTPad_D2.5mm_Drill1.2mm",""
"U1,U2,U3","3","MCP6002-xSN","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
