Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C14,C_1206_3216Metric,C454377,1
100R,"R11,R18,R21,R24,R7",R_0805_2012Metric,C1015,5
100k,"R12,R22,R23,R8",R_0805_2012Metric,C25611,4
100n,"C16,C17,C20,C22,C23",C_1206_3216Metric,C24497,5
100p,"C1,C4",C_0805_2012Metric,C1790,2
100u,"C13,C15,C19,C21",C_1206_3216Metric,C15008,4
10K,"R13,R14,R15,R16,R17,R25,R26,R27",R_0805_2012Metric,C17414,8
10uF,C18,C_1206_3216Metric,C13585,1
1M,"R10,R2,R4,R6",R_0805_2012Metric,C17514,4
1k,"R1,R3",R_0805_2012Metric,C17513,2
1n,"C3,C6",C_1206_3216Metric,C9196,2
1u,"C11,C12,C2,C5,C8,C9",C_1206_3216Metric,C1848,6
2M,"R19,R20",R_0805_2012Metric,C26112,2
2n2,"C10,C7",C_1812_4532Metric,C2915766,2
600R @ 100MHz,"FB1,FB2,FB3",L_0805_2012Metric,C405006,3
Daisy PIN Breakout RIGHT,J16,PinHeader_1x20_P2.54mm_Vertical,C124410,1
Daisy Pin Breakout LEFT,J15,PinHeader_1x20_P2.54mm_Vertical,C124410,1
ESP32 Pin Breakout LEFT,J4,PinHeader_1x15_P2.54mm_Vertical,C25503138,1
ESP32 Pin Breakout RIGHT,J3,PinHeader_1x15_P2.54mm_Vertical,C25503138,1
LEFT Pin ROW,J1,PinSocket_1x15_P2.54mm_Vertical,C2897378,1
LEFT Pin ROW Daisy,J13,PinSocket_1x20_P2.54mm_Vertical,C53202183,1
MCP6002-xSN,"U1,U2,U3",SOIC-8_3.9x4.9mm_P1.27mm,C7377,3
RIGHT Pin ROW DAISY,J14,PinSocket_1x20_P2.54mm_Vertical,C53202183,1
RIGHT Pin Row,J2,PinSocket_1x15_P2.54mm_Vertical,C2897378,1
TL072,"IC1,IC2,IC3,IC4",SOIC-8_3.9x4.9mm_P1.27mm,C1346149,4
Micro_SD_Card,J5,microSD_HC_Molex_104031-0811,,1
3R3,R5,R_0805_2012Metric,,1
3R3,R9,R_0805_2012Metric,,1
Micro_SD_Card,J12,microSD_HC_Molex_104031-0811,,1
